"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","118","Control what is printed to the Command Log","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.log","",""
"","297","can check off an item as completed","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","246","cy.wait() - wait for a specific route","Waiting","2026-09-03","passed","2026-09-03","","","",""
"","569",".as() - alias a route for later use","Aliasing","2026-09-03","passed","2026-09-03","","","",""
"","113","expect - make an assertion about a specified subject","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","336","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","771","cy.exec() - execute a system command","Misc","2026-09-03","passed","2026-09-03","","","",""
"","74",".spread() - spread an array as individual args to callback function","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","513","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","155","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","90",".invoke() - invoke a function on the current subject","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","84","invokes a callback function with the current subject","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","109","cy.location() - get window.location","Location","2026-09-03","passed","2026-09-03","","","",""
"","236","can filter for completed tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","97",".parent() - get parent DOM element from DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","83","Get environment variables","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.env()","",""
"","79","yields the returned value to the next command","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","165",".trigger() - trigger an event on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","189",".scrollIntoView() - scroll an element into view","Actions","2026-09-03","passed","2026-09-03","","","",""
"","107",".next() - get next sibling DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","195","cy.clearCookie() - clear a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","81",".within() - query DOM elements within a specific element","Querying","2026-09-03","passed","2026-09-03","","","",""
"","261","cy.window() - get the global window object","Window","2026-09-03","passed","2026-09-03","","","",""
"","266","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","258","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","91","cy.readFile() - read file contents","Files","2026-09-03","passed","2026-09-03","","","",""
"","151","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","88",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","81","can throw any error","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","489","cy.reload() - reload the page","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","85",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","313","cy.get() - query DOM elements","Querying","2026-09-03","passed","2026-09-03","","","",""
"","1810",".click() - click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","888","displays two todo items by default","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","329","cy.request() - save response in the shared test context","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","339","cy.request() - pass result to the second request","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","124","cy.document() - get the document object","Window","2026-09-03","passed","2026-09-03","","","",""
"","554","cy.request() - make an XHR request","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","356","cy.fixture() - load a fixture","Files","2026-09-03","passed","2026-09-03","","","",""
"","809",".check() - check a checkbox or radio element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","240","can filter for uncompleted tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","76","cy.wrap() - wrap an object","Misc","2026-09-03","passed","2026-09-03","","","",""
"","159","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","210","cy.request() with query parameters","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","81","cy.fixture() or require - load a fixture","Files","2026-09-03","passed","2026-09-03","","","",""
"","87",".find() - get descendant DOM elements of the selector","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","361",".submit() - submit a form","Actions","2026-09-03","passed","2026-09-03","","","",""
"","86",".not() - remove DOM elements from set of DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","176",".dblclick() - double click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","261","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","551","cy.screenshot() - take a screenshot","Misc","2026-09-03","passed","2026-09-03","","Cypress.Screenshot","",""
"","530","cy.intercept() - route responses to matching requests","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","133",".focus() - focus on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","279",".should() - make an assertion about the current subject","Assertions","2026-09-03","passed","2026-09-03","","Implicit Assertions","",""
"","1001","cy.go() - go back or forward in the browser's history","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","2829","cy.viewport() - set the viewport size and dimension","Viewport","2026-09-03","passed","2026-09-03","","","",""
"","761",".uncheck() - uncheck a checkbox element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","253","cy.focused() - get the DOM element that has focus","Misc","2026-09-03","passed","2026-09-03","","","",""
"","91","Get CPU architecture name of underlying OS","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.arch","",""
"","249",".each() - iterate over an array of elements","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","75","Get current spec information","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.spec","",""
"","19","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","83",".filter() - get DOM elements that match the selector","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","372","cy.getCookie() - get a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","75","Get underlying OS name","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.platform","",""
"","88","yields the value yielded by the last Cypress command inside","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","1598","retries the should callback until assertions pass","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","178",".rightclick() - right click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","239","cy.hash() - get the current URL hash","Location","2026-09-03","passed","2026-09-03","","","",""
"","98",".and() - chain multiple assertions together","Assertions","2026-09-03","passed","2026-09-03","","Implicit Assertions","",""
"","89",".its() - get properties on the current subject","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","297","cy.request() - verify response using BDD syntax","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","1075","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","82",".eq() - get a DOM element at a specific index","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","184","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","381","can add new todo items","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","2152","cy.scrollTo() - scroll the window or element to a position","Actions","2026-09-03","passed","2026-09-03","","","",""
"","106","cy.contains() - query DOM elements with matching content","Querying","2026-09-03","passed","2026-09-03","","","",""
"","331",".as() - alias a DOM element for later use","Aliasing","2026-09-03","passed","2026-09-03","","","",""
"","73",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.dom","",""
"","256",".children() - get child DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","4424","cy.wait() - wait for a specific amount of time","Waiting","2026-09-03","passed","2026-09-03","","","",""
"","119",".debug() - enable or disable debugging","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.Cookies","",""
"","481",".clear() - clears an input or textarea element","Actions","2026-09-03","passed","2026-09-03","","","",""
